status file for recon-all
Thu Jan  4 18:09:34 UTC 2018
#@# MotionCor Thu Jan  4 18:10:05 UTC 2018
#@# Talairach Thu Jan  4 18:11:20 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:19:57 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:19:58 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:32:05 UTC 2018
#@# Skull Stripping Thu Jan  4 18:44:14 UTC 2018
#@# EM Registration Thu Jan  4 20:37:32 UTC 2018
#@# CA Normalize Thu Jan  4 22:14:15 UTC 2018
#@# CA Reg Thu Jan  4 22:21:08 UTC 2018
#@# SubCort Seg Fri Jan  5 12:55:02 UTC 2018
#@# Merge ASeg Fri Jan  5 16:27:39 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 16:27:39 UTC 2018
#@# Mask BFS Fri Jan  5 16:35:41 UTC 2018
#@# WM Segmentation Fri Jan  5 16:35:46 UTC 2018
#@# Fill Fri Jan  5 16:41:25 UTC 2018
#@# Tessellate lh Fri Jan  5 16:43:17 UTC 2018
#@# Tessellate rh Fri Jan  5 16:43:35 UTC 2018
#@# Smooth1 lh Fri Jan  5 16:43:49 UTC 2018
#@# Smooth1 rh Fri Jan  5 16:44:03 UTC 2018
#@# Inflation1 lh Fri Jan  5 16:44:16 UTC 2018
#@# Inflation1 rh Fri Jan  5 16:45:39 UTC 2018
#@# QSphere lh Fri Jan  5 16:47:04 UTC 2018
#@# QSphere rh Fri Jan  5 16:55:34 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 17:04:15 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 17:04:15 UTC 2018
#@# Fix Topology lh Fri Jan  5 17:04:15 UTC 2018
#@# Fix Topology rh Fri Jan  5 19:54:55 UTC 2018
#@# Make White Surf lh Fri Jan  5 21:41:31 UTC 2018
#@# Make White Surf rh Fri Jan  5 21:52:57 UTC 2018
#@# Smooth2 lh Fri Jan  5 22:03:40 UTC 2018
#@# Smooth2 rh Fri Jan  5 22:03:53 UTC 2018
#@# Inflation2 lh Fri Jan  5 22:04:06 UTC 2018
#@# Inflation2 rh Fri Jan  5 22:05:29 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 22:06:57 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 22:10:20 UTC 2018
#@# Curvature Stats lh Fri Jan  5 22:13:44 UTC 2018
#@# Curvature Stats rh Fri Jan  5 22:13:54 UTC 2018
#@# Sphere lh Fri Jan  5 22:14:03 UTC 2018
#@# Sphere rh Sat Jan  6 00:02:06 UTC 2018
#@# Surf Reg lh Sat Jan  6 01:52:49 UTC 2018
#@# Surf Reg rh Sat Jan  6 04:22:20 UTC 2018
#@# Jacobian white lh Sat Jan  6 06:41:06 UTC 2018
#@# Jacobian white rh Sat Jan  6 06:41:10 UTC 2018
#@# AvgCurv lh Sat Jan  6 06:41:16 UTC 2018
#@# AvgCurv rh Sat Jan  6 06:41:19 UTC 2018
#@# Cortical Parc lh Sat Jan  6 06:41:23 UTC 2018
#@# Cortical Parc rh Sat Jan  6 06:41:58 UTC 2018
#@# Make Pial Surf lh Sat Jan  6 06:42:28 UTC 2018
#@# Make Pial Surf rh Sat Jan  6 07:13:27 UTC 2018
#@# Surf Volume lh Sat Jan  6 07:50:14 UTC 2018
#@# Surf Volume rh Sat Jan  6 07:50:23 UTC 2018
#@# Cortical ribbon mask Sat Jan  6 07:50:31 UTC 2018
#@# Parcellation Stats lh Sat Jan  6 08:13:41 UTC 2018
#@# Parcellation Stats rh Sat Jan  6 08:16:57 UTC 2018
#@# Cortical Parc 2 lh Sat Jan  6 08:20:05 UTC 2018
#@# Cortical Parc 2 rh Sat Jan  6 08:20:44 UTC 2018
#@# Parcellation Stats 2 lh Sat Jan  6 08:21:26 UTC 2018
#@# Parcellation Stats 2 rh Sat Jan  6 08:23:08 UTC 2018
#@# Cortical Parc 3 lh Sat Jan  6 08:24:42 UTC 2018
#@# Cortical Parc 3 rh Sat Jan  6 08:25:13 UTC 2018
#@# Parcellation Stats 3 lh Sat Jan  6 08:25:45 UTC 2018
#@# Parcellation Stats 3 rh Sat Jan  6 08:27:12 UTC 2018
#@# WM/GM Contrast lh Sat Jan  6 08:28:43 UTC 2018
#@# WM/GM Contrast rh Sat Jan  6 08:29:03 UTC 2018
#@# Relabel Hypointensities Sat Jan  6 08:29:21 UTC 2018
#@# AParc-to-ASeg aparc Sat Jan  6 08:30:04 UTC 2018
#@# AParc-to-ASeg a2009s Sat Jan  6 08:37:25 UTC 2018
#@# AParc-to-ASeg DKTatlas Sat Jan  6 08:44:41 UTC 2018
#@# APas-to-ASeg Sat Jan  6 08:52:25 UTC 2018
#@# ASeg Stats Sat Jan  6 08:52:40 UTC 2018
#@# WMParc Sat Jan  6 09:01:21 UTC 2018
#@# BA_exvivo Labels lh Sat Jan  6 09:20:39 UTC 2018
#@# BA_exvivo Labels rh Sat Jan  6 09:29:52 UTC 2018
recon-all -s 3442 finished without error at Sat Jan  6 09:38:38 UTC 2018
