status file for recon-all
Mon Jan  8 20:02:52 UTC 2018
#@# MotionCor Mon Jan  8 20:02:57 UTC 2018
#@# Talairach Mon Jan  8 20:03:18 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 20:07:30 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 20:07:35 UTC 2018
#@# Intensity Normalization Mon Jan  8 20:14:24 UTC 2018
#@# Skull Stripping Mon Jan  8 20:20:48 UTC 2018
#@# EM Registration Mon Jan  8 21:17:10 UTC 2018
#@# CA Normalize Mon Jan  8 22:01:14 UTC 2018
#@# CA Reg Mon Jan  8 22:05:11 UTC 2018
#@# SubCort Seg Tue Jan  9 06:13:19 UTC 2018
#@# Merge ASeg Tue Jan  9 08:27:54 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 08:27:54 UTC 2018
#@# Mask BFS Tue Jan  9 08:36:37 UTC 2018
#@# WM Segmentation Tue Jan  9 08:36:42 UTC 2018
#@# Fill Tue Jan  9 08:41:23 UTC 2018
#@# Tessellate lh Tue Jan  9 08:43:40 UTC 2018
#@# Tessellate rh Tue Jan  9 08:43:56 UTC 2018
#@# Smooth1 lh Tue Jan  9 08:44:10 UTC 2018
#@# Smooth1 rh Tue Jan  9 08:44:21 UTC 2018
#@# Inflation1 lh Tue Jan  9 08:44:32 UTC 2018
#@# Inflation1 rh Tue Jan  9 08:45:42 UTC 2018
#@# QSphere lh Tue Jan  9 08:46:55 UTC 2018
#@# QSphere rh Tue Jan  9 08:54:40 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 09:02:42 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 09:02:42 UTC 2018
#@# Fix Topology lh Tue Jan  9 09:02:42 UTC 2018
#@# Fix Topology rh Tue Jan  9 09:43:56 UTC 2018
#@# Make White Surf lh Tue Jan  9 10:07:12 UTC 2018
#@# Make White Surf rh Tue Jan  9 10:18:01 UTC 2018
#@# Smooth2 lh Tue Jan  9 10:29:43 UTC 2018
#@# Smooth2 rh Tue Jan  9 10:29:55 UTC 2018
#@# Inflation2 lh Tue Jan  9 10:30:06 UTC 2018
#@# Inflation2 rh Tue Jan  9 10:31:14 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 10:32:22 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 10:35:06 UTC 2018
#@# Curvature Stats lh Tue Jan  9 10:37:53 UTC 2018
#@# Curvature Stats rh Tue Jan  9 10:38:00 UTC 2018
#@# Sphere lh Tue Jan  9 10:38:09 UTC 2018
#@# Sphere rh Tue Jan  9 11:57:44 UTC 2018
#@# Surf Reg lh Tue Jan  9 13:14:49 UTC 2018
#@# Surf Reg rh Tue Jan  9 14:57:57 UTC 2018
#@# Jacobian white lh Tue Jan  9 16:27:40 UTC 2018
#@# Jacobian white rh Tue Jan  9 16:27:44 UTC 2018
#@# AvgCurv lh Tue Jan  9 16:27:48 UTC 2018
#@# AvgCurv rh Tue Jan  9 16:27:52 UTC 2018
#@# Cortical Parc lh Tue Jan  9 16:27:55 UTC 2018
#@# Cortical Parc rh Tue Jan  9 16:28:32 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 16:29:04 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 16:59:51 UTC 2018
#@# Surf Volume lh Tue Jan  9 17:30:22 UTC 2018
#@# Surf Volume rh Tue Jan  9 17:30:29 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 17:30:37 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 17:57:03 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 18:00:14 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 18:03:22 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 18:04:09 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 18:04:56 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 18:06:34 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 18:08:14 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 18:08:50 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 18:09:25 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 18:11:00 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 18:12:40 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 18:12:55 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 18:13:08 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 18:14:10 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 18:27:25 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 18:41:05 UTC 2018
#@# APas-to-ASeg Tue Jan  9 18:54:14 UTC 2018
#@# ASeg Stats Tue Jan  9 18:54:33 UTC 2018
#@# WMParc Tue Jan  9 19:06:29 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 19:35:29 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 19:46:33 UTC 2018
recon-all -s 3532 finished without error at Tue Jan  9 19:57:54 UTC 2018
